ID,Expected
1,0.108076693
2,0.108076693
3,0.108076693
4,0.108076693
5,0.108076693
6,0.108076693
7,0.108076693
8,0.108076693
9,0.108076693
10,0.108076693
11,0.108076693
12,0.108076693
13,0.108076693
14,0.108076693
15,0.108076693
16,0.108076693
17,0.108076693
18,0.108076693
19,0.108076693
20,0.108076693
21,0.108076693
22,0.108076693
23,0.108076693
24,0.108076693
25,0.108076693
26,0.108076693
27,0.108076693
28,0.108076693
29,0.108076693
30,0.108076693
31,0.108076693
32,0.108076693
33,0.108076693
34,0.108076693
35,0.108076693
36,0.108076693
37,0.108076693
38,0.108076693
39,0.108076693
40,0.108076693
41,0.108076693
42,0.108076693
43,0.108076693
44,0.108076693
45,0.108076693
46,0.108076693
47,0.108076693
48,0.108076693
49,0.108076693
50,0.108076693
51,0.108076693
52,0.108076693
53,0.108076693
54,0.108076693
55,0.108076693
56,0.108076693
57,0.108076693
58,0.108076693
59,0.108076693
60,0.108076693
61,0.108076693
62,0.108076693
63,0.108076693
64,0.108076693
65,0.108076693
66,0.108076693
67,0.108076693
68,0.108076693
69,0.108076693
70,0.108076693
71,0.108076693
72,0.108076693
73,0.108076693
74,0.108076693
75,0.108076693
76,0.108076693
77,0.108076693
78,0.108076693
79,0.108076693
80,0.108076693
81,0.108076693
82,0.108076693
83,0.108076693
84,0.108076693
85,0.108076693
86,0.108076693
87,0.108076693
88,0.108076693
89,0.108076693
90,0.108076693
91,0.108076693
92,0.108076693
93,0.108076693
94,0.108076693
95,0.108076693
96,0.108076693
